technique,n_examples,mean_pairwise_cos,centroid_dispersion,intra_label_cos,inter_label_cos,separation_gap
intent_classification_utility,1672,0.2779787480831146,0.4726414978504181,0.416648268699646,0.25825563073158264,0.15839263796806335
natural_language_distribution_diversity,1672,0.30048128962516785,0.4519224166870117,0.45209479331970215,0.2789309322834015,0.17316386103630066
scenario-path_domain_coverage,1672,0.3033510446548462,0.45061740279197693,0.46380385756492615,0.280529648065567,0.18327420949935913
taboo_opening_words,1672,0.2835729420185089,0.46701183915138245,0.4301493763923645,0.2627427577972412,0.1674066185951233
task-specific_hints,1672,0.2936772108078003,0.4577251374721527,0.44545939564704895,0.2721096873283386,0.17334970831871033
all_enhancements,1672,0.27901166677474976,0.4691329300403595,0.42500898241996765,0.2582542300224304,0.16675475239753723
