technique,n_examples,unique_intent_ratio,mattr,distinct_1,distinct_2,self_bleu,mean_edit_dist,label_entropy
all_enhancements,1672,1.0,0.8601611000640357,0.10006729475100942,0.43111268603827074,0.29932852852889236,100.36586466165413,1.0
intent_classification_utility,1672,0.9976076555023924,0.8346609103864533,0.09645710461371146,0.36765296559110994,0.3863335732436052,80.37015037593984,1.0
natural_language_distribution_diversity,1672,0.9970095693779905,0.8429584352078241,0.1060115266501199,0.40981545507610795,0.34461657079907554,78.95718045112783,1.0
scenario-path_domain_coverage,1672,1.0,0.8477575,0.09154731816905363,0.3862646895152051,0.36719453021807064,109.6137343358396,1.0
taboo_opening_words,1672,1.0,0.8440963855421688,0.10184827159539092,0.3991051637796568,0.3294898821320006,86.72200501253133,1.0
task-specific_hints,1672,0.9976076555023924,0.8374720258533631,0.10296726334462183,0.3901476141434947,0.3681451298601904,82.80796992481203,1.0
