technique,n_examples,n_classes,n_dropped_rare,accuracy,macro_f1,weighted_f1
all_enhancements,1672,8,0,0.9784688995215312,0.9784753946698398,0.9784753946698398
intent_classification_utility,1672,8,0,0.9748803827751196,0.9749004696924694,0.9749004696924695
natural_language_distribution_diversity,1672,8,0,0.9880382775119617,0.9880621102970966,0.9880621102970966
scenario-path_domain_coverage,1672,8,0,0.9880382775119617,0.9880188152635712,0.988018815263571
taboo_opening_words,1672,8,0,0.9814593301435407,0.981479870457125,0.9814798704571249
task-specific_hints,1672,8,0,0.986244019138756,0.9862818237505184,0.9862818237505185
ALL_POOLED,10032,8,0,0.98853668261563,0.9885408337562969,0.9885408337562969
