technique,accuracy,macro_f1,mattr,distinct_1,distinct_2,self_bleu,mean_edit_dist,label_entropy,mean_pairwise_cos,centroid_dispersion,intra_label_cos,inter_label_cos,separation_gap,centroid_drift,run_centroid_spread
intent_classification_utility,0.9748803827751196,0.9749004696924694,0.8346609103864533,0.0964571046137114,0.3676529655911099,0.3863335732436052,80.37015037593984,1.0,0.2779787480831146,0.4726414978504181,0.416648268699646,0.2582556307315826,0.1583926379680633,0.0,
natural_language_distribution_diversity,0.9880382775119616,0.9880621102970966,0.8429584352078241,0.1060115266501199,0.4098154550761079,0.3446165707990755,78.95718045112783,1.0,0.3004812896251678,0.4519224166870117,0.4520947933197021,0.2789309322834015,0.1731638610363006,0.0,
scenario-path_domain_coverage,0.9880382775119616,0.9880188152635712,0.8477575,0.0915473181690536,0.3862646895152051,0.3671945302180706,109.6137343358396,1.0,0.3033510446548462,0.4506174027919769,0.4638038575649261,0.280529648065567,0.1832742094993591,5.960464477539064e-08,
taboo_opening_words,0.9814593301435408,0.981479870457125,0.8440963855421688,0.1018482715953909,0.3991051637796568,0.3294898821320006,86.72200501253133,1.0,0.2835729420185089,0.4670118391513824,0.4301493763923645,0.2627427577972412,0.1674066185951233,1.1920928955078125e-07,
task-specific_hints,0.986244019138756,0.9862818237505184,0.8374720258533631,0.1029672633446218,0.3901476141434947,0.3681451298601904,82.80796992481203,1.0,0.2936772108078003,0.4577251374721527,0.4454593956470489,0.2721096873283386,0.1733497083187103,0.0,
all_enhancements,0.9784688995215312,0.9784753946698398,0.8601611000640357,0.1000672947510094,0.4311126860382707,0.2993285285288923,100.36586466165411,1.0,0.2790116667747497,0.4691329300403595,0.4250089824199676,0.2582542300224304,0.1667547523975372,0.0,
