technique,Separability acc,Separability F1,Semantic sep,MATTR,Distinct-2,Edit dist,Self-BLEU,Semantic div,Label entropy,Label JS,Cross-run dup,Near dup,Semantic drift
intent_classification_utility,0.5567393047647511,0.5466228367813097,0.0,0.0,0.0,0.08630662525088251,0.11572895065836264,1.0,0.6024166174011806,1.0,0.0,0.0,0.7458640693759531
natural_language_distribution_diversity,0.23104896882419126,0.2735311197256322,0.6751207571030918,0.22860030626190456,0.6311046815988675,0.0,0.07343616204278847,0.0,0.6916600822584876,0.10571643461041325,0.023666802776637574,0.5,0.772440902840697
scenario-path_domain_coverage,1.0,1.0,1.0,0.606774274841835,0.21683401878493275,1.0,0.0,0.13190152885137307,0.18588533923838405,0.3706654633210468,0.8646646501603006,0.75,1.0
taboo_opening_words,0.003162633317706742,0.050468924265323616,0.5718849127741494,0.414412561996068,0.48342431171865047,0.2666440994128768,0.27233393806400163,0.873841460405742,0.20855429514087306,0.14225016023489956,1.0,1.0,0.7026079433824923
task-specific_hints,0.6111649723041637,0.6374478255662203,0.5556571521526393,0.1991809691764717,0.3795536134324615,0.10782461420117559,0.09202051408849166,0.510056399434557,0.0,0.12099775107460664,0.4770116451000429,1.0,0.8804827902665072
all_enhancements,0.0,0.0,0.24555343616599742,1.0,1.0,0.667951725570198,1.0,0.8276972601427547,1.0,0.0,1.0,1.0,0.0
