technique,accuracy,macro_f1,mattr,distinct_1,distinct_2,self_bleu,mean_edit_dist,label_entropy,mean_js_label,label_prop_std,cross_run_dup_rate,near_dup_cross_run,mean_pairwise_cos,centroid_dispersion,intra_label_cos,inter_label_cos,separation_gap,centroid_drift,run_centroid_spread
intent_classification_utility,0.9876873661670236,0.9878343296591842,0.8337133701564279,0.097239754270807,0.3711937483158178,0.3639893852130154,80.86532581453633,0.9981018858414168,0.0489851318511687,0.0096101897731837,0.0082976445396145,0.01,0.2772441506385803,0.4735972583293915,0.4139593839645386,0.2574938833713531,0.1564655005931854,0.0146915884688496,0.0295663718134164
natural_language_distribution_diversity,0.9837974683544304,0.9844848405610138,0.8392898353979298,0.1054993438042419,0.4066723927489715,0.3678848290641198,77.9802380952381,0.9982998469534898,0.0582351749228518,0.0110301931926716,0.0081012658227848,0.005,0.2977783679962158,0.4510169327259063,0.4480772018432617,0.2762746214866638,0.1718025803565979,0.0145316533744335,0.0296103674918413
scenario-path_domain_coverage,0.9929814710836607,0.993395032422098,0.8485149936031454,0.0913197906281156,0.3833834488168388,0.3746487823347004,111.40858395989974,0.9971779302871344,0.0554946684188479,0.01072268702071,0.0011229646266142,0.0025,0.2950698733329773,0.4565747082233429,0.4515267610549927,0.2723437249660492,0.1791830360889434,0.0131622394546866,0.0265297777950763
taboo_opening_words,0.9810756972111554,0.9817489670604788,0.8438225309244156,0.1025471257205172,0.3983702845797485,0.3495650364005814,86.89370927318296,0.997228214884748,0.0578572874734181,0.0110219378972036,0.0,0.0,0.2798347175121307,0.4690769910812378,0.427894115447998,0.2584367990493774,0.1694573163986206,0.0149518968537449,0.030440205708146
task-specific_hints,0.988337401681584,0.9889483045283468,0.8385721814570073,0.1046285806764848,0.3925310130944176,0.3661730880729728,81.5846365914787,0.9967655968066657,0.0580771122669377,0.011347319760804,0.0043395714673176,0.0,0.2873047590255737,0.4632112383842468,0.4348622560501098,0.265773594379425,0.1690886616706848,0.0138814747333526,0.0279529523104429
all_enhancements,0.9810379241516968,0.9811299621582223,0.8581073236584543,0.0986893089389804,0.4274104829837822,0.2825422086463927,100.30875939849624,0.9989838109065952,0.0593286553482749,0.0110250084435108,0.0,0.0,0.2807822525501251,0.470512717962265,0.4225505888462066,0.2605067193508148,0.1620438694953918,0.0191800780594348,0.0389635786414146
