technique,n_examples,n_classes,n_dropped_rare,accuracy,macro_f1,weighted_f1
all_enhancements,2004,8,0,0.9810379241516967,0.9811299621582223,0.9810568738696879
intent_classification_utility,3736,8,0,0.9876873661670236,0.9878343296591842,0.9876841535210196
natural_language_distribution_diversity,1975,8,0,0.9837974683544304,0.9844848405610138,0.9838164759619863
scenario-path_domain_coverage,3562,8,0,0.9929814710836609,0.9933950324220981,0.9929890434808507
taboo_opening_words,2008,8,0,0.9810756972111554,0.9817489670604789,0.9810944946241463
task-specific_hints,3687,8,0,0.9883374016815839,0.9889483045283469,0.988335380688797
ALL_POOLED,16972,8,0,0.9912797548904078,0.9913352642206987,0.9912806682208163
