technique,n_runs,n_examples,mean_js_label,label_prop_std,unique_intent_ratio,cross_run_dup_rate,near_dup_cross_run
all_enhancements,40,2004,0.05932865534827493,0.011025008443510825,1.0,0.0,0.0
intent_classification_utility,74,3736,0.04898513185116879,0.009610189773183793,0.9957173447537473,0.008297644539614561,0.01
natural_language_distribution_diversity,39,1975,0.058235174922851844,0.011030193192671667,0.9959493670886076,0.00810126582278481,0.005
scenario-path_domain_coverage,70,3562,0.05549466841884793,0.010722687020710015,0.9994385176866929,0.0011229646266142617,0.0025
taboo_opening_words,40,2008,0.05785728747341816,0.011021937897203665,1.0,0.0,0.0
task-specific_hints,73,3687,0.05807711226693777,0.011347319760804081,0.9972877678329265,0.0043395714673176026,0.0
