technique,n_examples,mean_pairwise_cos,centroid_dispersion,intra_label_cos,inter_label_cos,separation_gap
intent_classification_utility,3736,0.2772441506385803,0.4735972583293915,0.4139593839645386,0.25749388337135315,0.15646550059318542
natural_language_distribution_diversity,1975,0.2977783679962158,0.45101693272590637,0.4480772018432617,0.2762746214866638,0.1718025803565979
scenario-path_domain_coverage,3562,0.2950698733329773,0.4565747082233429,0.4515267610549927,0.2723437249660492,0.17918303608894348
taboo_opening_words,2008,0.27983471751213074,0.4690769910812378,0.42789411544799805,0.25843679904937744,0.1694573163986206
task-specific_hints,3687,0.28730475902557373,0.4632112383842468,0.43486225605010986,0.26577359437942505,0.16908866167068481
all_enhancements,2004,0.2807822525501251,0.470512717962265,0.42255058884620667,0.2605067193508148,0.16204386949539185
